title,genre_id,age_release,description,image_url
Crimson Tide,"53,28,18",1995,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg
Hackers,"28,80,53,18",1995,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg
Miss Hokusai,"16,18,36",2015,"A daughter is constantly overshadowed by her famous father, but she is determined to make her own mark in the world.",/21botnUdVFVeg2nb8j5SHfupWD9.jpg
Cannibal Holocaust,27,1980,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,/89vXjnQGdTR1DBrAjqfN5oPpmX3.jpg
Rain Man,18,1988,"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",/iTNHwO896WKkaoPtpMMS74d8VNi.jpg
The Skin I Live In,"18,27,9648,53",2011,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,/ywMA2jiUpcvvFeqEdMe8HvoV8Ec.jpg
Passion,"53,18,80,9648",2013,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,/o9DoB4Rsuc8wdkSZCJWB6fq9QPP.jpg
Regarding Henry,"10749,18",1991,"Respected lawyer, Henry Turner survives a convenience-store shooting only to find he has lost his memory, and has serious speech and mobility issues. After also losing his job—where he no longer 'fits in'—his loving wife and daughter give him all their love and support.",/1gyViKAIpy1jAcM3B17iXNbiHrh.jpg
Berserk: The Golden Age Arc II - The Battle for Doldrey,"28,12,18,14,16",2012,"The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war.",/gzVQQaDazukAcmiFx6l9WLj1kwo.jpg
The Aviator,18,2004,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",/lx4kWcZc3o9PaNxlQpEJZM17XUI.jpg
The Little Hours,35,2017,"Garfagnana, Italy, 1347. The handsome servant Masseto, fleeing from his vindictive master, takes shelter in a nunnery where three young nuns, Sister Alessandra, Sister Ginevra and Sister Fernanda, try unsuccessfully to find out what their purpose in life is, a conundrum that each of them faces in different ways.",/wS69OOwBJzimoLIcmYMSVkmhCZM.jpg
The Architecture of Love,"18,10749",2024,"Raia is a famous writer who suffers from writer's block. In order to get inspired again, he then went to New York. It was in that city that Raia met River and then got involved in a love story that was overshadowed by the past.",/4tT9N7IeZtvWYsbGJsbIOGQ36b5.jpg
Drop Zone,"28,53",1994,"A daring prison break from an airliner at 30,000 feet leaves U.S. Marshal Pete Nessip mourning a brother and gunning for revenge. After being ordered to turn in his badge, he seeks out Jessie Crossman, a noted skydiver, and offers to sponsor her crew for the annual Independence Day parachuting show in Washington, D.C., if she trains him. Meanwhile, the mastermind behind the mid-air jailbreak is planning a daring computer theft on Independence Day.",/bbveyfmq6pGrzKL0l4waeA2WHHp.jpg
Hostiles,"37,18,36",2017,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.,/rqoezyB51GfhiloOB5ZErg5HXas.jpg
The Happytime Murders,"28,35,80",2018,"In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",/rWxkur51srfVnMn2QOFjE7mbq6h.jpg
Mia and the White Lion,"12,10751,18",2018,A young girl from London moves to Africa with her parents where she befriends a lion cub.,/zXfwBeYe0RnqsJ0dnBoFTB4SSrG.jpg
Police Academy: Mission to Moscow,"35,80",1994,"The Russians seek help in dealing with the Mafia from the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",/3517XQ9LpoEykyYq2TuDNS45MPP.jpg
Ferris Bueller's Day Off,35,1986,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg
Dragon Ball Z: Super Android 13!,"28,16,878",1992,"Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",/uVJqC187rKxQ1sJsWlKjNfAzeTk.jpg
Cheaper by the Dozen 2,"35,10751,12",2005,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",/wD68dEtcKuboxd8bhbqiTTxn6cX.jpg
Locked In,53,2023,"A kindly nurse tries to unlock the secrets of a coma patient's injuries — and discovers the bitter rivalry, infidelity, betrayal and murder behind them.",/blQaj6biyBMLo34cuFKKwbgjIBz.jpg
The Naked Gun 2½: The Smell of Fear,"35,80",1991,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",/v9niLQWVzVPB1cP1ThNdEaLZG1Q.jpg
Fear Street: 1994,"9648,27",2021,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",/9J9Wy39ZjrVmfk7yMkulpcI5sy0.jpg
Barabbas,"36,18,12",1961,"Epic account of the thief Barabbas, who was pardoned for his crimes and spared crucifixion when Pilate offered the Israelites a choice to pardon Barabbas or Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",/8qTylsK58cNc9hP7cQksi65j8JW.jpg
The Bank Job,"53,80,18",2008,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.",/4G4JJTlOTwSOwvzzU6bKiZfpkBb.jpg
Dark Waters,"18,53",2019,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.",/yV6edeSb1ykiNpJ1ekRz8GPhENr.jpg
My Name Is Loh Kiwan,"10749,18",2024,"After defecting from North Korea, Loh Kiwan struggles to obtain refugee status in Belgium, where he encounters a dejected woman who has lost all hope.",/x4BkphLO6abbGhceYEMhJERkvHo.jpg
Date Movie,"35,10749",2006,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",/xjLK0EmD0MAM7B049SRCUQaqkdL.jpg
The Fox and the Hound,"12,16,18,10751",1981,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",/1382VHxqZDXu2t8i46zf4fP71JG.jpg
[REC]⁴ Apocalypse,"53,27",2014,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.",/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg
Big Trouble in Little China,"35,28,14",1986,"Jack Burton, a tough-talking truck driver, goes into a supernatural tailspin when his best friend's fiancée is kidnapped.",/gI2Qs1yTTj3NcESJyttCkbmJ4k9.jpg
The Remaining,"53,27",2014,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.",/z0HOfkCxd3QhEUfC3tR0s6U4ajp.jpg
Dressed to Kill,"9648,53,27",1980,"After witnessing a mysterious woman brutally slay a homemaker, prostitute Liz Blake finds herself trapped in a dangerous situation. While the police thinks she is the murderer, the real killer is intent on silencing her only witness.",/oy1m5dd44foNrxV8U9l6Walx82V.jpg
The Battery,"18,27",2012,"In rural Connecticut, baseball players Ben and Mickey are trying to survive a zombie plague. They are forced to form a battery: a catcher and a pitcher who work together to outwit the batter, the one who hits the ball. And the batter in this case just happens to be a zombie. Tough Ben and gentle Mickey frequently disagree on the best way to go about the situation. Then they suddenly hear a human voice through their walkie-talkies. Is salvation nearby, like Mickey thinks, or is Ben’s suspicion justified?",/nI7lzx2t4UPfuqhunB5bEVymOOV.jpg
Orphan: First Kill,"27,53",2022,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg
